syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
8,664.2006,467.3,0.7336,-0.3389,0.9535,0.6044,0.9557,-0.4294
8,664.5783,467.6051,0.7153,-0.3332,0.8827,0.8438,0.8741,-0.1647
8,664.5421,468.9346,0.7237,-0.2505,1.2178,0.6758,0.7942,-0.1505
8,664.8238,469.4709,0.7872,-0.3634,1.4242,0.9631,0.5002,0.0262
8,665.5311,470.668,0.7648,-0.4397,1.5082,0.8145,0.5167,-0.3359
8,666.1072,470.9283,0.8741,-0.2918,1.6607,0.7506,0.3211,-0.2745
8,666.7081,472.249,0.8749,-0.2267,1.6395,0.8842,0.6212,-0.2107
8,666.451,472.6415,0.9055,-0.3431,1.65,0.9963,0.4514,-0.3222
8,665.8572,473.0388,0.8996,-0.5076,1.6005,0.9795,0.4991,-0.2082
8,665.6141,472.821,0.8854,-0.3507,1.6661,1.0519,0.5882,-0.1872
8,665.7055,472.4455,0.8563,-0.4665,1.694,0.8649,0.507,-0.29
8,665.6837,471.7298,0.8947,-0.4626,1.7711,0.8666,0.4955,-0.3166
8,665.6762,471.234,0.9077,-0.3986,1.6049,0.6016,0.3731,-0.4483
8,664.4327,469.9916,0.8593,-0.4047,1.466,0.5468,0.7667,-0.4252
8,664.6053,467.4782,0.7406,-0.1949,0.8468,0.3414,0.8723,-0.6703
8,665.04,465.693,0.676,-0.0556,0.4471,0.5727,0.9541,-0.6908
8,665.3984,463.6489,0.5761,0.0803,0.0356,0.7436,1.2886,-0.9156
8,665.0818,461.9514,0.5132,0.1753,-0.2177,0.5991,1.3317,-1.0179
8,665.3858,460.5497,0.4285,0.0234,-0.148,0.6654,1.5832,-0.9083
8,665.7715,459.3099,0.3458,-0.1082,-0.5522,0.2185,1.298,-0.6354
8,665.8612,458.4203,0.3558,-0.0834,-0.4104,0.2135,1.0604,-0.7944
8,667.2149,457.7461,0.3099,-0.0299,-0.572,0.2349,1.0765,-0.6193
8,668.1809,457.0457,0.273,-0.0706,-0.916,0.0691,1.0558,-0.6611
8,669.5135,455.8979,0.2044,-0.1074,-0.8955,0.3737,1.2724,-0.6656
8,670.9079,455.2939,0.2006,-0.1604,-0.9856,0.2321,0.9698,-0.7824
